Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,RIGHT,533.3333344,"('Time_Max_Exceeded', 534.983499999953)",0,,,RIGHT,275.3288,15:44.7,15:45.2,122,S2,ConflictResolution
INCONGRUENT,RIGHT,1366.666669,"('Time_Max_Exceeded', 1367.1344000001682)",0,,,RIGHT,499.2317,15:46.6,15:47.3,123,S2,ConflictResolution
INCONGRUENT,LEFT,1416.66667,"('Time_Max_Exceeded', 1419.2390000000614)",0,,,LEFT,497.6328,15:48.8,15:49.5,124,S2,ConflictResolution
INCONGRUENT,RIGHT,1466.66667,"('Time_Max_Exceeded', 1467.1292000000449)",0,,,RIGHT,501.1858,15:51.0,15:51.7,125,S2,ConflictResolution
CONGRUENT,RIGHT,783.3333349,"('Time_Max_Exceeded', 783.7926000001971)",0,,,RIGHT,411.6782,15:52.5,15:53.2,126,S2,ConflictResolution
INCONGRUENT,LEFT,850.0000017,"('Time_Max_Exceeded', 850.5161000000498)",0,,,LEFT,439.8866,15:54.1,15:54.7,127,S2,ConflictResolution
CONGRUENT,LEFT,750.0000015,"('Time_Max_Exceeded', 750.5039000000124)",0,,,LEFT,396.6812,15:55.5,15:56.1,128,S2,ConflictResolution
INCONGRUENT,RIGHT,616.6666679,"('Time_Max_Exceeded', 617.2781000000214)",0,,,RIGHT,428.5794,15:56.8,15:57.4,129,S2,ConflictResolution
CONGRUENT,RIGHT,1250.000003,"('Time_Max_Exceeded', 1250.4762000000937)",0,,,RIGHT,407.7432,15:58.7,15:59.4,130,S2,ConflictResolution
CONGRUENT,LEFT,1233.333336,"('Time_Max_Exceeded', 1237.282499999992)",0,,,LEFT,376.9672,16:00.6,16:01.2,131,S2,ConflictResolution
CONGRUENT,LEFT,1083.333336,"('Time_Max_Exceeded', 1084.2924999999468)",0,,,LEFT,380.7755,16:02.4,16:03.0,132,S2,ConflictResolution
CONGRUENT,LEFT,516.6666677,"('Time_Max_Exceeded', 517.1638000001622)",0,,,LEFT,394.3528,16:03.5,16:04.2,133,S2,ConflictResolution
INCONGRUENT,LEFT,1016.666669,"('Time_Max_Exceeded', 1017.1408999999585)",0,,,RIGHT,367.2612,16:05.2,16:05.8,134,S2,ConflictResolution
INCONGRUENT,LEFT,916.6666685,"('Time_Max_Exceeded', 902.0821999999953)",0,,,LEFT,430.6545,16:06.8,16:07.4,135,S2,ConflictResolution
CONGRUENT,RIGHT,1100.000002,"('Time_Max_Exceeded', 1100.5007999999634)",0,,,RIGHT,400.9259,16:08.6,16:09.2,136,S2,ConflictResolution
CONGRUENT,LEFT,1000.000002,"('Time_Max_Exceeded', 1000.7344000000558)",0,,,LEFT,371.2219,16:10.2,16:10.8,137,S2,ConflictResolution
CONGRUENT,RIGHT,616.6666679,"('Time_Max_Exceeded', 617.5025000000005)",0,,,RIGHT,437.2394,16:11.5,16:12.1,138,S2,ConflictResolution
INCONGRUENT,RIGHT,633.3333346,"('Time_Max_Exceeded', 633.802100000139)",0,,,RIGHT,354.1784,16:12.8,16:13.4,139,S2,ConflictResolution
CONGRUENT,LEFT,1050.000002,"('Time_Max_Exceeded', 1052.3306000000048)",0,,,LEFT,346.1476,16:14.5,16:15.1,140,S2,ConflictResolution
INCONGRUENT,RIGHT,1233.333336,"('Time_Max_Exceeded', 1233.800599999995)",0,,,RIGHT,423.0336,16:16.3,16:17.0,141,S2,ConflictResolution
INCONGRUENT,LEFT,1383.333336,"('Time_Max_Exceeded', 1383.8626999997814)",0,,,LEFT,405.9239,16:18.4,16:19.0,142,S2,ConflictResolution
INCONGRUENT,RIGHT,1200.000002,"('Time_Max_Exceeded', 1200.535200000104)",0,,,RIGHT,636.2396,16:20.3,16:21.1,143,S2,ConflictResolution
INCONGRUENT,RIGHT,1383.333336,"('Time_Max_Exceeded', 1383.8657000001149)",0,,,LEFT,327.4818,16:22.6,16:23.1,144,S2,ConflictResolution
CONGRUENT,LEFT,1333.333336,"('Time_Max_Exceeded', 1333.961600000066)",0,,,LEFT,392.5975,16:24.5,16:25.1,145,S2,ConflictResolution
INCONGRUENT,RIGHT,516.6666677,"('Time_Max_Exceeded', 517.1534000000975)",0,,,RIGHT,477.3475,16:25.7,16:26.4,146,S2,ConflictResolution
INCONGRUENT,RIGHT,666.666668,"('Time_Max_Exceeded', 667.1980999999505)",0,,,RIGHT,493.0819,16:27.1,16:27.8,147,S2,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,"('Time_Max_Exceeded', 1167.2060000000783)",0,,,RIGHT,385.2188,16:29.0,16:29.6,148,S2,ConflictResolution
INCONGRUENT,RIGHT,883.3333351,"('Time_Max_Exceeded', 883.8233999999829)",0,,,RIGHT,400.6764,16:30.6,16:31.2,149,S2,ConflictResolution
INCONGRUENT,LEFT,1150.000002,"('Time_Max_Exceeded', 1150.7358999999724)",0,,,LEFT,462.4283,16:32.4,16:33.1,150,S2,ConflictResolution
INCONGRUENT,LEFT,750.0000015,"('Time_Max_Exceeded', 750.4867000000104)",0,,,LEFT,455.1501,16:33.9,16:34.6,151,S2,ConflictResolution
CONGRUENT,LEFT,900.0000018,"('Time_Max_Exceeded', 902.1013999999923)",0,,,LEFT,437.4597,16:35.5,16:36.2,152,S2,ConflictResolution
INCONGRUENT,LEFT,516.6666677,"('Time_Max_Exceeded', 517.1675999999934)",0,,,LEFT,445.5748,16:36.7,16:37.4,153,S2,ConflictResolution
INCONGRUENT,RIGHT,1250.000003,"('Time_Max_Exceeded', 1250.5103999999392)",0,,,RIGHT,488.2706,16:38.7,16:39.4,154,S2,ConflictResolution
INCONGRUENT,LEFT,1300.000003,"('Time_Max_Exceeded', 1300.4733000000215)",0,,,LEFT,388.453,16:40.8,16:41.4,155,S2,ConflictResolution
CONGRUENT,RIGHT,1150.000002,"('Time_Max_Exceeded', 1150.7409000000735)",0,,,RIGHT,485.5037,16:42.6,16:43.3,156,S2,ConflictResolution
CONGRUENT,LEFT,1400.000003,"('Time_Max_Exceeded', 1400.4873999999745)",0,,,LEFT,417.2376,16:44.7,16:45.4,157,S2,ConflictResolution
INCONGRUENT,LEFT,1400.000003,"('Time_Max_Exceeded', 1400.6454999998823)",0,,,LEFT,469.2219,16:46.8,16:47.5,158,S2,ConflictResolution
INCONGRUENT,LEFT,1033.333335,"('Time_Max_Exceeded', 1035.0599000000784)",0,,,LEFT,499.5404,16:48.6,16:49.3,159,S2,ConflictResolution
INCONGRUENT,RIGHT,1133.333336,"('Time_Max_Exceeded', 1133.8358999998945)",0,,,RIGHT,472.7813,16:50.5,16:51.2,160,S2,ConflictResolution
INCONGRUENT,LEFT,1250.000003,"('Time_Max_Exceeded', 1250.5208999998558)",0,,,LEFT,436.8242,16:52.5,16:53.1,161,S2,ConflictResolution
