Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,600.0000012,FALSE,,"('Time_Max_Exceeded', 603.2330000000456)",0,LEFT,426.114,48:38.6,48:39.2,124,s4,ResponseInhibition
RIGHT,833.333335,TRUE,316.6666673,"('Time_Max_Exceeded', 833.6590000000115)",0,RIGHT,369.3070673,48:40.1,48:40.7,125,s4,ResponseInhibition
RIGHT,500.000001,FALSE,,"('Time_Max_Exceeded', 500.2958000000035)",0,RIGHT,532.1251,48:41.2,48:41.9,126,s4,ResponseInhibition
RIGHT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1218.994299999963)",0,RIGHT,398.987,48:43.2,48:43.8,127,s4,ResponseInhibition
LEFT,533.3333344,TRUE,316.6666673,"('Time_Max_Exceeded', 533.580200000074)",0,Time_Max_Exceeded,1500.054967,48:44.3,48:45.8,128,s4,ResponseInhibition
RIGHT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.0935000000254)",0,RIGHT,457.2734,48:46.5,48:47.1,129,s4,ResponseInhibition
RIGHT,1100.000002,FALSE,,"('Time_Max_Exceeded', 0.12859999992542726)",0,RIGHT,434.445,48:48.3,48:48.9,130,s4,ResponseInhibition
RIGHT,966.6666686,FALSE,,"('Time_Max_Exceeded', 966.8374999999969)",0,RIGHT,674.1075,48:49.9,48:50.8,131,s4,ResponseInhibition
RIGHT,1483.333336,TRUE,316.6666673,"('Time_Max_Exceeded', 1483.5864000000356)",0,RIGHT,449.0678673,48:52.3,48:52.9,132,s4,ResponseInhibition
RIGHT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1016.9242999999142)",0,RIGHT,606.5183,48:54.0,48:54.8,133,s4,ResponseInhibition
LEFT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.6956999999757)",0,LEFT,685.9528,48:56.2,48:57.1,134,s4,ResponseInhibition
RIGHT,1283.333336,FALSE,,"('Time_Max_Exceeded', 1284.7752999999784)",0,RIGHT,498.7697,48:58.4,48:59.1,135,s4,ResponseInhibition
LEFT,1283.333336,TRUE,316.6666673,"('Time_Max_Exceeded', 1285.0331999999298)",0,LEFT,436.7512673,49:00.4,49:01.0,136,s4,ResponseInhibition
