Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
CONGRUENT,LEFT,1366.6666694,,,,,LEFT,1046.0450999999011,2019-10-31 16:30:30.235686,2019-10-31 16:30:31.489744,129,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,866.6666684,,,,,RIGHT,699.4224000000031,2019-10-31 16:30:32.385224,2019-10-31 16:30:33.293166,130,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,616.6666679,,,,,LEFT,694.9525999999651,2019-10-31 16:30:33.938211,2019-10-31 16:30:34.840748,131,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1500.000003,,,,,LEFT,548.9066000000093,2019-10-31 16:30:36.370747,2019-10-31 16:30:37.127656,132,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1383.3333361,,,,,LEFT,418.97400000004836,2019-10-31 16:30:38.541829,2019-10-31 16:30:39.169104,133,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,716.6666681,,,,,LEFT,547.2272999999177,2019-10-31 16:30:39.913873,2019-10-31 16:30:40.667928,134,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1016.6666687000001,,,,,LEFT,499.80059999995774,2019-10-31 16:30:41.705901,2019-10-31 16:30:42.414326,135,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1450.0000029,,,,,RIGHT,429.7700000000759,2019-10-31 16:30:43.890773,2019-10-31 16:30:44.529489,136,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,800.0000016,,,,,LEFT,558.0156999999417,2019-10-31 16:30:45.358047,2019-10-31 16:30:46.124158,137,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,583.3333345,,,,,RIGHT,478.4023999999363,2019-10-31 16:30:46.737339,2019-10-31 16:30:47.422811,138,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,666.6666680000001,,,,,LEFT,418.25299999982235,2019-10-31 16:30:48.118956,2019-10-31 16:30:48.745732,139,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,666.6666680000001,,,,,LEFT,525.4899000001387,2019-10-31 16:30:49.440186,2019-10-31 16:30:50.173547,140,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1333.3333360000001,,,,,LEFT,420.9668999999394,2019-10-31 16:30:51.538063,2019-10-31 16:30:52.167648,141,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1333.3333360000001,,,,,RIGHT,471.2162000000717,2019-10-31 16:30:53.530126,2019-10-31 16:30:54.209539,142,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,950.0000019,,,,,RIGHT,383.4382000000005,2019-10-31 16:30:55.189265,2019-10-31 16:30:55.780344,143,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1116.6666689,,,,,LEFT,422.3194000001058,2019-10-31 16:30:56.926943,2019-10-31 16:30:57.557290,144,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1283.3333359,,,,,RIGHT,563.4806000000481,2019-10-31 16:30:58.868773,2019-10-31 16:30:59.640446,145,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1000.000002,,,,,LEFT,706.7366999999649,2019-10-31 16:31:00.670802,2019-10-31 16:31:01.586250,146,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1183.3333357000001,,,,,LEFT,611.8114000000787,2019-10-31 16:31:02.808309,2019-10-31 16:31:03.627649,147,6.53653955,s3,ConflictResolution
