Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,LEFT,816.6666683,"('Time_Max_Exceeded', 819.4515999999794)",0,,,LEFT,400.4152,54:37.1,54:37.7,90,s4,ConflictResolution
INCONGRUENT,RIGHT,716.6666681,"('Time_Max_Exceeded', 716.9298999999683)",0,,,RIGHT,522.9101,54:38.4,54:39.1,91,s4,ConflictResolution
CONGRUENT,RIGHT,883.3333351,"('Time_Max_Exceeded', 883.591000000024)",0,,,RIGHT,457.5259,54:40.0,54:40.7,92,s4,ConflictResolution
INCONGRUENT,LEFT,1483.333336,"('Time_Max_Exceeded', 1483.6731999999984)",0,,,LEFT,492.8266,54:42.2,54:42.9,93,s4,ConflictResolution
INCONGRUENT,LEFT,1500.000003,"('Time_Max_Exceeded', 1500.343399999906)",0,,,LEFT,514.7699,54:44.4,54:45.2,94,s4,ConflictResolution
INCONGRUENT,LEFT,950.0000019,"('Time_Max_Exceeded', 950.262500000008)",0,,,LEFT,484.4534,54:46.1,54:46.8,95,s4,ConflictResolution
INCONGRUENT,RIGHT,1283.333336,"('Time_Max_Exceeded', 1283.544699999993)",0,,,RIGHT,503.0876,54:48.1,54:48.8,96,s4,ConflictResolution
CONGRUENT,RIGHT,1416.66667,"('Time_Max_Exceeded', 1416.927899999905)",0,,,RIGHT,422.648,54:50.3,54:50.9,97,s4,ConflictResolution
INCONGRUENT,RIGHT,583.3333345,"('Time_Max_Exceeded', 583.6577000000034)",0,,,RIGHT,551.861,54:51.5,54:52.3,98,s4,ConflictResolution
CONGRUENT,LEFT,1133.333336,"('Time_Max_Exceeded', 1133.593000000019)",0,,,LEFT,415.6612,54:53.4,54:54.1,99,s4,ConflictResolution
INCONGRUENT,LEFT,833.333335,"('Time_Max_Exceeded', 833.6706000000049)",0,,,LEFT,537.5792,54:54.9,54:55.7,100,s4,ConflictResolution
INCONGRUENT,RIGHT,1350.000003,"('Time_Max_Exceeded', 0.08239999999659631)",0,,,RIGHT,483.6464,54:57.0,54:57.7,101,s4,ConflictResolution
INCONGRUENT,RIGHT,866.6666684,"('Time_Max_Exceeded', 866.9984999999087)",0,,,RIGHT,552.2195,54:58.6,54:59.4,102,s4,ConflictResolution
CONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 685.9508000000005)",0,,,RIGHT,505.539,55:00.1,55:00.8,103,s4,ConflictResolution
CONGRUENT,RIGHT,800.0000016,"('Time_Max_Exceeded', 0.17809999997098203)",0,,,RIGHT,418.1503,55:01.6,55:02.2,104,s4,ConflictResolution
CONGRUENT,LEFT,933.3333352,"('Time_Max_Exceeded', 933.6375999999973)",0,,,LEFT,420.8619,55:03.2,55:03.8,105,s4,ConflictResolution
INCONGRUENT,LEFT,1466.66667,"('Time_Max_Exceeded', 0.2271000000746426)",0,,,LEFT,559.2634,55:05.3,55:06.1,106,s4,ConflictResolution
